amostra,eixoX,eixoY,eixoZ,aceleracaoX,aceleracaoY,aceleracaoZ
75,-5474.000000,5253.000000,-665.000000,-0.325684,-0.491943,0.822266
76,1533.000000,-1131.000000,-184.000000,-0.418457,-0.583252,0.797119
77,3852.000000,-2590.000000,-212.000000,-0.344727,-0.460693,0.882812
78,4962.000000,-4155.000000,1534.000000,-0.289307,-0.358154,0.963135
79,5855.000000,-4024.000000,1422.000000,-0.177246,-0.261475,0.969971
80,7170.000000,-6654.000000,2474.000000,-0.161133,-0.049805,1.124023
81,4153.000000,-2900.000000,151.000000,0.099854,0.013428,1.169189
82,4563.000000,829.000000,-90.000000,0.099854,0.046143,1.006348
83,7334.000000,1033.000000,-292.000000,0.084229,0.182617,0.970459
84,6964.000000,2384.000000,-1211.000000,0.008789,0.353271,0.950195
85,7833.000000,1254.000000,-271.000000,0.017090,0.569824,0.906982
86,1573.000000,-1115.000000,525.000000,-0.089355,0.692871,0.840576
87,-4592.000000,-606.000000,-593.000000,-0.090088,0.603760,0.779541
88,-3284.000000,-927.000000,-375.000000,-0.036377,0.530762,0.999512
89,-5000.000000,-499.000000,-251.000000,0.000244,0.427002,1.035645
90,-3151.000000,-1147.000000,639.000000,-0.038086,0.231445,0.980225
91,-2911.000000,-173.000000,-329.000000,-0.008545,0.130615,1.036865
92,-2584.000000,-683.000000,75.000000,0.021484,0.075439,1.084473
93,-1369.000000,779.000000,-363.000000,0.055420,0.022705,1.104004
94,-4230.000000,4302.000000,-2382.000000,-0.026367,-0.028809,1.093750
95,-4600.000000,5316.000000,-2037.000000,-0.141602,-0.139893,1.117188
96,-4307.000000,4103.000000,-1676.000000,-0.284668,-0.281494,1.052002
97,-3423.000000,3067.000000,-445.000000,-0.329346,-0.367432,0.933105
98,482.000000,-919.000000,1030.000000,-0.440430,-0.537598,0.842529
99,4722.000000,-2601.000000,894.000000,-0.351807,-0.469971,0.858887
100,6956.000000,-4262.000000,2063.000000,-0.351562,-0.297363,0.899658
